iter,eval_time,sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,prune_time
2,130.039,1.0,3,DELETE,0.01,True,,,False,-1,1,1,0,0.0,1508.729,0,0.0
2,21.815,1.0,10,DELETE,0.001,True,,,False,-1,1,1,0,0.0,512.327,0,0.0
2,62611.178,1.0,5,DELETE,0.4,True,,,False,-1,1,1,0,0.0,6272.479999999996,0,0.0
2,4361.242,1.0,9,DELETE,0.01,True,,,False,-1,1,1,0,0.0,33902.072,0,0.0
2,2043.434,1.0,7,DELETE,0.05,True,,,False,-1,1,1,0,0.0,4155.3369999999995,0,0.0
2,2.048,1.0,1,DELETE,0.005,True,,,False,-1,1,1,0,0.0,719.244,0,0.0
2,36592.395,1.0,9,DELETE,0.1,True,,,False,-1,1,1,0,0.0,33977.287000000004,0,0.0
2,141.45,1.0,1,DELETE,0.2,True,,,False,-1,1,1,0,0.0,735.825,0,0.0
2,11.052,1.0,1,DELETE,0.02,True,,,False,-1,1,1,0,0.0,732.018,0,0.0
2,96.72,1.0,10,DELETE,0.1,True,,,False,-1,1,1,0,0.0,515.365,0,0.0
2,23.009,1.0,10,DELETE,0.002,True,,,False,-1,1,1,0,0.0,512.591,0,0.0
2,47238.737,1.0,5,DELETE,0.3,True,,,False,-1,1,1,0,0.0,6286.570999999996,0,0.0
2,195.021,1.0,10,DELETE,0.3,True,,,False,-1,1,1,0,0.0,514.787,0,0.0
2,278.025,1.0,1,DELETE,0.4,True,,,False,-1,1,1,0,0.0,721.952,0,0.0
2,513.301,1.0,5,DELETE,0.002,True,,,False,-1,1,1,0,0.0,6321.035,0,0.0
2,76841.437,1.0,5,DELETE,0.5,True,,,False,-1,1,1,0,0.0,6286.178999999989,0,0.0
2,69145.822,1.0,9,DELETE,0.2,True,,,False,-1,1,1,0,0.0,33740.322,0,0.0
2,708.527,1.0,3,DELETE,0.4,True,,,False,-1,1,1,0,0.0,1520.004,0,0.0
2,25.997,1.0,10,DELETE,0.005,True,,,False,-1,1,1,0,0.0,513.109,0,0.0
2,4.495,1.0,1,DELETE,0.01,True,,,False,-1,1,1,0,0.0,721.984,0,0.0
2,826.324,1.0,3,DELETE,0.5,True,,,False,-1,1,1,0,0.0,1500.2599999999998,0,0.0
2,3797.438,1.0,7,DELETE,0.1,True,,,False,-1,1,1,0,0.0,4125.338,0,0.0
2,24.057,1.0,12,DELETE,0.002,True,,,False,-1,1,1,0,0.0,507.664,0,0.0
2,557.464,1.0,7,DELETE,0.01,True,,,False,-1,1,1,0,0.0,4158.936,0,0.0
2,73.507,1.0,12,DELETE,0.1,True,,,False,-1,1,1,0,0.0,508.325,0,0.0
2,11514.674,1.0,7,DELETE,0.4,True,,,False,-1,1,1,0,0.0,4141.566999999999,0,0.0
2,9163.739,1.0,7,DELETE,0.3,True,,,False,-1,1,1,0,0.0,4106.527,0,0.0
2,148.631,1.0,10,DELETE,0.2,True,,,False,-1,1,1,0,0.0,512.5830000000001,0,0.0
2,101.818,1.0,12,DELETE,0.2,True,,,False,-1,1,1,0,0.0,514.128,0,0.0
2,114.931,1.0,3,DELETE,0.005,True,,,False,-1,1,1,0,0.0,1521.0639999999999,0,0.0
2,123890.423,1.0,9,DELETE,0.4,True,,,False,-1,1,1,0,0.0,33942.814,0,0.0
2,13322.731,1.0,7,DELETE,0.5,True,,,False,-1,1,1,0,0.0,4117.9619999999995,0,0.0
2,37.532,1.0,12,DELETE,0.02,True,,,False,-1,1,1,0,0.0,510.681,0,0.0
2,154.595,1.0,12,DELETE,0.4,True,,,False,-1,1,1,0,0.0,508.44399999999996,0,0.0
2,956.662,1.0,7,DELETE,0.02,True,,,False,-1,1,1,0,0.0,4144.605,0,0.0
2,235.417,1.0,10,DELETE,0.4,True,,,False,-1,1,1,0,0.0,510.321,0,0.0
2,807.149,1.0,9,DELETE,0.001,True,,,False,-1,1,1,0,0.0,33624.712,0,0.0
2,0.825,1.0,1,DELETE,0.002,True,,,False,-1,1,1,0,0.0,741.1139999999999,0,0.0
2,3538.813,1.0,5,DELETE,0.02,True,,,False,-1,1,1,0,0.0,6287.561,0,0.0
2,35.772,1.0,1,DELETE,0.05,True,,,False,-1,1,1,0,0.0,730.495,0,0.0
2,19102.965,1.0,9,DELETE,0.05,True,,,False,-1,1,1,0,0.0,33901.026,0,0.0
2,1209.029,1.0,9,DELETE,0.002,True,,,False,-1,1,1,0,0.0,34009.293,0,0.0
2,366.378,1.0,1,DELETE,0.5,True,,,False,-1,1,1,0,0.0,741.3620000000001,0,0.0
2,101.191,1.0,3,DELETE,0.001,True,,,False,-1,1,1,0,0.0,1505.579,0,0.0
2,23.332,1.0,12,DELETE,0.001,True,,,False,-1,1,1,0,0.0,511.125,0,0.0
2,312.536,1.0,5,DELETE,0.001,True,,,False,-1,1,1,0,0.0,6289.558,0,0.0
