iter,sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage,code_gen_time,data_time
2,1.0,3,DENSE_DELETE,0.005,false,false,true,true,1,1,4,0.035306,0.00083,0.000624,1.051923,8.4e-05,0.013045,0.027607,0.3306577205657959,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000184
1,1.0,3,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.03483,0.000797,0.000579,1.045807,9.2e-05,0.013149,0.02788,0.3404877185821533,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000167
2,1.0,3,DENSE_DELETE,0.01,false,false,true,true,1,1,4,0.035034,0.000793,0.000635,1.052737,8.3e-05,0.013113,0.027934,0.33372044563293457,,4237529,132083,16.16489,0.503857,false,1.9e-05,0.000168
1,1.0,3,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.034792,0.000795,0.000594,1.049723,9.7e-05,0.013102,0.027789,0.33255720138549805,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000164
2,1.0,3,DENSE_DELETE,0.02,false,false,true,true,1,1,4,0.035288,0.000801,0.000595,1.053864,8.5e-05,0.01302,0.027711,0.3277101516723633,,4237529,132083,16.16489,0.503857,false,1.7e-05,0.000188
1,1.0,3,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.035638,0.000802,0.000627,1.04872,8.5e-05,0.013216,0.027744,0.32634615898132324,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000174
2,1.0,3,DENSE_DELETE,0.05,false,false,true,true,1,1,4,0.036886,0.000811,0.000639,1.142675,8.4e-05,0.013046,0.02798,0.33019280433654785,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000181
1,1.0,3,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.036001,0.000804,0.000605,1.055662,8.6e-05,0.013007,0.027816,0.3326876163482666,,4237529,132083,16.16489,0.503857,false,2e-05,0.000177
2,1.0,3,DENSE_DELETE,0.1,false,false,true,true,1,1,4,0.03576,0.000799,0.000638,1.061897,9.6e-05,0.01299,0.027757,0.32848215103149414,,4237529,132083,16.16489,0.503857,false,1.8e-05,0.000169
1,1.0,3,DENSE_DELETE,0.2,false,false,true,true,1,1,4,0.035868,0.000826,0.000617,1.048354,8.7e-05,0.012972,0.027873,0.32960987091064453,,4237529,132083,16.16489,0.503857,false,1.9e-05,0.000174
