sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage
1.0,12,DENSE_DELETE,0.1,false,false,true,false,1,1,4,3e-06,0.112778,0.007997,1.113429,0.002739,0.0,0.014,0.26998090744018555,,2478737,2478737,9.455631,9.455631,false
1.0,1,DENSE_DELETE,0.1,false,false,true,true,2,1,4,2e-06,0.284134,0.345463,1.247144,0.031854,0.0,0.079954,1.7419507503509521,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,true,2,1,4,3e-06,0.260794,0.346337,1.22607,0.01434,0.0,0.045528,1.7389698028564453,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,true,2,1,4,4e-06,0.002439,0.000846,1.190696,0.000353,0.013124,0.037982,0.3756520748138428,,4237529,132083,16.16489,0.503857,true
1.0,3,DENSE_DELETE,0.1,false,false,true,true,2,1,4,3e-06,0.002912,0.000858,1.185761,0.000254,0.013046,0.028471,0.374969482421875,,4237529,132083,16.16489,0.503857,false
1.0,5,DENSE_DELETE,0.1,false,false,true,true,2,1,4,5e-06,0.001088,0.000465,1.237549,0.000184,0.010615,0.033424,0.40088844299316406,,6693785,60951,25.534763,0.23251,true
1.0,5,DENSE_DELETE,0.1,false,false,true,true,2,1,4,5e-06,0.001114,0.000466,1.227455,0.000118,0.010505,0.03341,0.4058375358581543,,6693785,60951,25.534763,0.23251,false
1.0,7,DENSE_DELETE,0.1,false,false,true,true,2,1,4,6e-06,0.001,0.001758,1.228033,0.000132,0.009325,0.067606,1.565840482711792,,8817246,50002,33.635124,0.190742,true
1.0,7,DENSE_DELETE,0.1,false,false,true,true,2,1,4,5e-06,0.000926,0.001779,1.22819,0.000116,0.009311,0.067339,1.515256404876709,,8817246,50002,33.635124,0.190742,false
1.0,9,DENSE_DELETE,0.1,false,false,true,true,2,1,4,5e-06,0.032988,0.004926,1.230711,0.001236,0.347031,0.063062,1.0847523212432861,,9575428,1734061,36.527359,6.614918,true
